Date,Open,High,Low,Close
06/27/2024,"4,918.63","4,935.11","4,897.18","4,902.60"
06/26/2024,"4,954.79","4,975.81","4,889.23","4,915.94"
06/25/2024,"4,938.44","4,938.44","4,910.92","4,935.97"
06/24/2024,"4,911.17","4,964.84","4,911.17","4,950.98"
06/21/2024,"4,945.02","4,945.02","4,890.08","4,907.30"
06/20/2024,"4,894.13","4,948.89","4,894.13","4,947.73"
06/19/2024,"4,913.54","4,916.69","4,883.30","4,885.45"
06/18/2024,"4,898.33","4,922.61","4,883.18","4,915.47"
06/17/2024,"4,858.68","4,900.31","4,837.88","4,880.42"
06/14/2024,"4,942.82","4,942.82","4,819.56","4,839.14"
06/13/2024,"5,031.04","5,031.04","4,929.87","4,935.50"
06/12/2024,"4,970.61","5,042.39","4,970.61","5,034.43"
06/11/2024,"5,025.13","5,034.58","4,941.39","4,965.09"
06/10/2024,"5,027.86","5,027.86","4,973.88","5,016.48"
06/07/2024,"5,072.88","5,077.21","5,018.35","5,051.31"
06/06/2024,"5,051.94","5,082.07","5,049.88","5,069.09"
06/05/2024,"4,972.72","5,044.02","4,972.72","5,035.66"
06/04/2024,"5,001.97","5,001.97","4,942.14","4,953.37"
06/03/2024,"5,008.10","5,039.55","4,997.01","5,003.54"
05/31/2024,"4,985.71","5,000.76","4,967.19","4,983.67"
05/30/2024,"4,954.78","4,985.87","4,947.21","4,982.18"
05/29/2024,"5,027.52","5,027.53","4,955.84","4,963.20"
05/28/2024,"5,060.38","5,071.39","5,015.85","5,030.35"
05/27/2024,"5,038.92","5,059.20","5,033.56","5,059.20"
05/24/2024,"5,027.94","5,040.89","4,991.70","5,035.41"
05/23/2024,"5,026.70","5,064.50","5,025.28","5,037.60"
05/22/2024,"5,044.22","5,045.09","5,020.70","5,025.17"
05/21/2024,"5,064.87","5,064.87","5,026.07","5,046.99"
05/20/2024,"5,060.62","5,079.04","5,060.62","5,074.34"
05/17/2024,"5,061.44","5,068.39","5,040.23","5,064.14"
05/16/2024,"5,094.77","5,101.41","5,068.11","5,072.45"
05/15/2024,"5,083.25","5,102.30","5,075.06","5,100.90"
05/14/2024,"5,079.37","5,083.55","5,057.94","5,080.29"
05/13/2024,"5,083.54","5,087.92","5,068.06","5,078.96"
05/10/2024,"5,060.73","5,096.89","5,060.73","5,085.08"
05/09/2024,"5,019.32","5,057.23","5,013.77","5,054.41"
05/08/2024,"5,025.30","5,047.54","5,023.74","5,038.17"
05/07/2024,"4,969.82","5,016.71","4,967.81","5,016.10"
05/06/2024,"4,921.02","4,969.12","4,920.93","4,956.96"
05/03/2024,"4,901.04","4,944.82","4,896.41","4,921.48"
05/02/2024,"4,907.33","4,913.71","4,888.11","4,890.61"
05/01/2024,"4,921.22","4,921.22","4,921.22","4,921.22"
04/30/2024,"4,985.54","4,988.12","4,916.57","4,921.22"
04/29/2024,"5,014.22","5,026.82","4,980.42","4,981.09"
04/26/2024,"4,950.22","5,017.98","4,950.22","5,006.85"
04/25/2024,"4,993.35","4,994.41","4,900.27","4,939.01"
04/24/2024,"5,004.91","5,031.84","4,981.81","4,989.88"
04/23/2024,"4,941.29","5,011.10","4,941.29","5,008.17"
